id,title,description,releaseYear,genre,duration,director,rating,language,posterUrl,cast,country,imdbId
1,"Baahubali: The Beginning","In ancient India, an adventurous man becomes involved in a decade-long feud between two warring brothers.",2015,"[""Action"",""Drama""]",159,"S.S. Rajamouli",8.0,"Telugu","","[""Prabhas"",""Rana Daggubati"",""Anushka Shetty"",""Tamannaah Bhatia""]","India","tt2631186"
2,"Dangal","A former wrestler trains his daughters to become world-class wrestlers, overcoming social stigmas along the way.",2016,"[""Action"",""Biography"",""Drama""]",161,"Nitesh Tiwari",8.3,"Hindi","","[""Aamir Khan"",""Fatima Sana Shaikh"",""Sanya Malhotra"",""Sakshi Tanwar""]","India","tt5074352"
3,"Kantara","A fiery village youth clashes with a strict forest officer while defending his tribe's ancestral land and sacred traditions.",2022,"[""Action"",""Adventure"",""Drama""]",148,"Rishab Shetty",8.2,"Kannada","","[""Rishab Shetty"",""Saptami Gowda"",""Kishore"",""Achyuth Kumar""]","India","tt15327088"
4,"K.G.F: Chapter 1","A fierce young man journeys to the brutal gold fields of Kolar in search of power and a promise made to his mother.",2018,"[""Action"",""Crime"",""Drama""]",156,"Prashanth Neel",8.2,"Kannada","","[""Yash"",""Srinidhi Shetty"",""Ramachandra Raju"",""Anant Nag""]","India","tt4169250"
5,"K.G.F: Chapter 2","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes while the government sees him as a threat.",2022,"[""Action"",""Crime"",""Drama""]",168,"Prashanth Neel",8.3,"Kannada","","[""Yash"",""Sanjay Dutt"",""Raveena Tandon"",""Srinidhi Shetty""]","India","tt10698680"
6,"RRR","A fictional tale of two legendary Indian revolutionaries and their journey away from home before fighting for their country.",2022,"[""Action"",""Drama""]",187,"S.S. Rajamouli",7.8,"Telugu","","[""N.T. Rama Rao Jr."",""Ram Charan"",""Ajay Devgn"",""Alia Bhatt""]","India","tt8178634"
7,"Pathaan","An Indian secret agent races against time to stop a mercenary group from launching a devastating attack on India.",2023,"[""Action"",""Adventure"",""Thriller""]",146,"Siddharth Anand",5.9,"Hindi","","[""Shah Rukh Khan"",""Deepika Padukone"",""John Abraham"",""Dimple Kapadia""]","India","tt12844910"
8,"Jawan","A high-octane action thriller highlighting a man driven by a personal vendetta to rectify the wrongs in society.",2023,"[""Action"",""Thriller""]",169,"Atlee",7.0,"Hindi","","[""Shah Rukh Khan"",""Nayanthara"",""Vijay Sethupathi"",""Deepika Padukone""]","India","tt15354916"
9,"Animal","A fierce father-son bond spirals into obsessive loyalty and violent conflict across underworld factions.",2023,"[""Action"",""Crime"",""Drama""]",201,"Sandeep Reddy Vanga",6.2,"Hindi","","[""Ranbir Kapoor"",""Anil Kapoor"",""Bobby Deol"",""Rashmika Mandanna""]","India","tt13751694"
10,"Kalki 2898 AD","A modern avatar of Vishnu descends to Earth to protect humanity from dark forces in a dystopian future.",2024,"[""Action"",""Adventure"",""Sci-Fi""]",180,"Nag Ashwin",7.6,"Telugu","","[""Prabhas"",""Amitabh Bachchan"",""Kamal Haasan"",""Deepika Padukone""]","India","tt12735488"
11,"Vikram","A high-level special ops squad investigates a mask-wearing syndicate of vigilantes involved in a drug bust.",2022,"[""Action"",""Crime"",""Thriller""]",175,"Lokesh Kanagaraj",8.3,"Tamil","","[""Kamal Haasan"",""Vijay Sethupathi"",""Fahadh Faasil"",""Suriya""]","India","tt9179430"
12,"Leo","A quiet cafe owner in Himachal Pradesh is drawn into a violent underworld conflict when past identities resurface.",2023,"[""Action"",""Crime"",""Drama""]",164,"Lokesh Kanagaraj",7.2,"Tamil","","[""Vijay"",""Sanjay Dutt"",""Trisha Krishnan"",""Arjun Sarja""]","India","tt15654328"
13,"Jailer","A retired prison warden sets out on a relentless mission when his police officer son mysteriously vanishes.",2023,"[""Action"",""Comedy"",""Crime""]",168,"Nelson Dilipkumar",7.1,"Tamil","","[""Rajinikanth"",""Vinayakan"",""Vasanth Ravi"",""Tamannaah Bhatia""]","India","tt11663228"
14,"Manjummel Boys","A group of friends from Kerala face an unprecedented rescue operation when one of them falls into a deep cave.",2024,"[""Adventure"",""Drama"",""Thriller""]",135,"Chidambaram",8.3,"Malayalam","","[""Soubin Shahir"",""Sreenath Bhasi"",""Balu Varghese"",""Ganapathi""]","India","tt26736843"
15,"Premalu","A young graduate moves to Hyderabad for training and unexpectedly falls in love with a software employee.",2024,"[""Comedy"",""Romance""]",156,"Girish A.D.",7.9,"Malayalam","","[""Naslen K. Gafoor"",""Mamitha Baiju"",""Shyam Mohan"",""Sangeeth Pratap""]","India","tt29361815"
16,"Aavesham","Three college students in Bengaluru seek the assistance of a eccentric local gangster to deal with senior bullies.",2024,"[""Action"",""Comedy""]",158,"Jithu Madhavan",7.9,"Malayalam","","[""Fahadh Faasil"",""Hipzster"",""Mithun Jai Shankar"",""Roshan Shanavas""]","India","tt26940026"
17,"Drishyam 2","Georgekutty and his family come under fresh police scrutiny as an old murder investigation is reopened.",2021,"[""Crime"",""Drama"",""Thriller""]",153,"Jeethu Joseph",8.4,"Malayalam","","[""Mohanlal"",""Meena"",""Ansiba"",""Esther Anil""]","India","tt12361178"
18,"Kumbalangi Nights","Four brothers living in a dysfunctional household navigate personal struggles, relationships, and brotherhood.",2019,"[""Comedy"",""Drama"",""Romance""]",135,"Madhu C. Narayanan",8.5,"Malayalam","","[""Shane Nigam"",""Soubin Shahir"",""Fahadh Faasil"",""Sreenath Bhasi""]","India","tt8404672"
19,"Sairat","Two college students from different social castes fall in love, triggering severe societal backlash and family conflict.",2016,"[""Drama"",""Romance""]",174,"Nagraj Manjule",8.3,"Marathi","","[""Rinku Rajguru"",""Akash Thosar"",""Tanaji Galgunde"",""Arbaz Shaikh""]","India","tt5310038"
20,"Baipan Bhaari Deva","Six estranged sisters reunite to participate in a traditional Mangalagaur dance competition, rediscovering their bond.",2023,"[""Comedy"",""Drama"",""Family""]",140,"Kedar Shinde",7.4,"Marathi","","[""Rohini Hattangadi"",""Vandana Gupte"",""Sukanya Kulkarni"",""Shilpa Navalkar""]","India","tt27055745"
21,"Praktan","A former married couple unexpectedly meet on a train journey from Kolkata to Mumbai, reflecting on their past relationship.",2016,"[""Drama"",""Romance""]",151,"Nandita Roy","Raja Sen",7.8,"Bengali","","[""Prosenjit Chatterjee"",""Rituparna Sengupta"",""Soumitra Chatterjee""]","India","tt5736192"
22,"Golondaaj","A biographical drama portraying Nagendra Prasad Sarbadhikari, known as the father of Indian football.",2021,"[""Biography"",""Drama"",""Sport""]",145,"Dhrubo Banerjee",7.2,"Bengali","","[""Dev"",""Alexx O'Nell"",""Anirban Bhattacharya"",""Isha Saha""]","India","tt11822294"
23,"Inception","A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.",2010,"[""Action"",""Adventure"",""Sci-Fi""]",148,"Christopher Nolan",8.8,"English","","[""Leonardo DiCaprio"",""Joseph Gordon-Levitt"",""Elliot Page"",""Tom Hardy""]","United States","tt1375666"
24,"Interstellar","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",2014,"[""Adventure"",""Drama"",""Sci-Fi""]",169,"Christopher Nolan",8.7,"English","","[""Matthew McConaughey"",""Anne Hathaway"",""Jessica Chastain"",""Michael Caine""]","United States","tt0816692"
25,"Oppenheimer","The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.",2023,"[""Biography"",""Drama"",""History""]",180,"Christopher Nolan",8.9,"English","","[""Cillian Murphy"",""Emily Blunt"",""Matt Damon"",""Robert Downey Jr.""]","United States","tt1535352"
